DrugName,ChemicalComposition,Description
Pimavanserin, C25H34FN3O2,A second generation atypical antipsychotic used for the treatment of hallucinations and delusions caused by Parkinson's Disease.
Pimecrolimus, C43H68ClNO11,A topical calcineurin inhibitor used in the treatment of mild-moderate atopic dermatitis who are not candidates for other types of therapy due to previous lack of response or other reasons.
Pimethixene, C19H19NS,Pimethixene is approved for use in Brazil and is marketed under the trade name Muricalm. It is an anticholinergic used in the treatment of bronchitis.
Pimozide, C28H29F2N3O,An antipsychotic used to manage debilitating motor and phonic tics in patients with Tourette's Disorder.
Pinacidil, C13H19N5,"Pinacidil is a cyanoguanidine drug that acts by opening ATP-sensitive potassium channels, leading to peripheral vasodilatation of arterioles and decreasing peripheral vascular resistance. The above processes result in reduced blood..."
Pinaverium, C26H41BrNO4,A spasmolytic agent used for the symptomatic treatment of irritable bowel syndrome (IBS) and functional disorders of the biliary tract.
Pindolol, C14H20N2O2,"A beta adrenoceptor antagonist used to treat hypertension, edema, ventricular tachycardias, and atrial fibrillation."
Pioglitazone, C19H20N2O3S,A thiazolidinedione used adjunctively with diet and exercise to normalize glycemic levels in adults with type 2 diabetes mellitus.
Pipecuronium, C35H62N4O4,A nondepolarizing neuromuscular blocking agent used to relax muscles during anesthesia and surgical procedures.
Piperacillin, C23H27N5O7S,"A penicillin antibiotic combined with tazobactam to treat piperacillin-resistant, piperacillin/tazobactam­ susceptible, β-lactamase generating strains of several bacteria."
Piperaquine, C29H32Cl2N6,"For the treatment of uncomplicated Plasmodium falciparum infection in adults, children, and infants aged 6 months and up weighing over 5 kg [FDA Label]. Used in combination with DB11638."
Piperazine, C4H10N2,A medication used to treat roundworm and pinworm.
Piperonyl butoxide, C19H30O5,"A pesticide used as a potentiator ingredient in the treatment of pediculosis (head lice, body lice or crabs) to boost efficacy of treatment."
Pipobroman, C10H16Br2N2O2,For the treatment of polycythaemia vera and refractory chronic myeloid leukaemia.
Pipotiazine, C24H33N3O3S2,"An antipsychotic indicated for the management of chronic, non-agitated schizophrenic patients."
Pipradrol, C18H21NO,A central nervous stimulant ingredient in a product used to treat functional fatigue.
Orphenadrine, C18H23NO,A muscarinic antagonist used as an adjunct for the symptomatic relief of musculoskeletal pain and discomfort.
Oseltamivir, C16H28N2O4,A neuraminidase inhibitor used in the prophylaxis and treatment of influenza.
Osilodrostat, C13H10FN3,An oral inhibitor of cortisol synthesis used to treat Cushing's disease by normalizing hypercortisolism.
Osimertinib, C28H33N7O2,A tyrosine kinase inhibitor used in the treatment of certain types of non-small cell lung carcinoma.
Piracetam, C6H10N2O2,"A nootropic cyclic GABA derivative used in myoclonus, sickle cell disease, alcohol dependence, and as a general cognitive enhancer."
Pirbuterol, C12H20N2O3,A beta-2 adrenergic agonist and bronchodilator used for the symptomatic treatment of asthma.
Pirenzepine, C19H21N5O2,"An antimuscarinic agent used to treat peptic ulcers, gastric ulcers, and duodenal ulcers."
Piretanide, C17H18N2O5S,"A loop diuretic used to manage essential arterial hypertension and edema cardiac, hepatic, and renal origin."
Pirfenidone, C12H11NO,An agent used for the treatment of idiopathic pulmonary fibrosis (IPF).
Piritramide, C27H34N4O,A synthetic opioid used in the treatment of severe pain.
Piroxicam, C15H13N3O4S,An NSAID used to treat the symptoms of osteoarthritis and rheumatoid arthritis.
Pirtobrutinib, C22H21F4N5O3,A kinase inhibitor used to treat relapsed or refractory mantle cell lymphoma (MCL) after at least two lines of systemic therapy.
Pitavastatin, C25H24FNO4,An HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular disease including myocardial infarction and stroke.
Ospemifene, C24H23ClO2,"A non-hormonal estrogen receptor modulator (SERM) used to treat moderate to severe dyspareunia, a symptom of vulvar and vaginal atrophy, due to menopause."
Oteracil, C4H3N3O4,"A chemotherapy agent used in combination with tegafur, cisplatin and gimeracil to treat advanced gastric cancer."
Oteseconazole, C23H16F7N5O2,An azole antifungal used to prevent recurrent vulvovaginal candidiasis in females who are not of reproductive potential.
Ouabain, C29H44O12,For the treatment of atrial fibrillation and flutter and heart failure
Oxacillin, C19H19N3O5S,A penicillin antibiotic used to treat a number of susceptible bacterial infections.
Oxaliplatin, C8H14N2O4Pt,A platinum based chemotherapy agent used to treat carcinoma of the colon or rectum or stage III colon cancer.
Oxamniquine, C14H21N3O3,For treatment of Schistosomiasis caused by Schistosoma mansoni
Oxandrolone, C19H30O3,An androgenic hormone used to treat muscle loss from prolonged corticosteroid treatment and to treat bone pain associated with osteoporosis.
Pitolisant, C17H26ClNO,An antagonist and inverse agonist at the histamine H3 receptor that is used to treat narcolepsy in adults.
Pivampicillin, C22H29N3O6S,An ampicillin prodrug used to treat a variety of infections.
Pivmecillinam, C21H33N3O5S,"A prodrug of the beta lactam antibiotic mecillinam, indicated for the treatment of uncomplicated urinary tract infections (UTIs)."
Pixantrone, C17H19N5O2,An antineoplastic agent use to treat patients with relapsed or refractory aggressive Non-Hodgkin B-cell Lymphomas (NHL).
Pizotifen, C19H21NS,A serotonin and tryptamine antagonist indicated for migraine prophylaxis.
Plazomicin, C25H48N6O10,An aminoglycoside antibiotic used to treat complicated urinary tract infections.
Plecanatide, C65H104N18O26S4,A laxative used to treat chronic idiopathic constipation and IBS with constipation.
Plerixafor, C28H54N8,A CXCR4 antagonist used in combination with granulocyte-colony stimulating factor to mobilize hematopoietic stem cells to the peripheral blood for collection and autologous transplantation in patients with non-Hodgkin’s lymphoma and multiple myeloma.
Oxaprozin, C18H15NO3,"An NSAID used to treat osteoarthritis, rheumatoid arthritis, and juvenile rheumatoid arthritis."
Oxatomide, C27H30N4O,An antihistamine indicated in the treatment and prevention of allergic symptoms.
Oxazepam, C15H11ClN2O2,"An intermediate-acting benzodiazepine with slow onset commonly used to treat panic disorders, severe anxiety, alcohol withdrawals, and insomnia."
Oxcarbazepine, C15H12N2O2,An anti-epileptic used in the treatment of partial-onset seizures.
Oxeladin, C20H33NO3,"Withdrawn from the Canadian, US, and UK markets in 1976 due to carcinogenicity."
Oxetacaine, C28H41N3O3,"An antacid used to treat gastritis, peptic ulcer disease, heartburn, esophagitis, hiatus hernia, and anorexia."
Oxiconazole, C18H13Cl4N3O,A topical antifungal used to treat a variety of dermatophyte infections.
Oxidronic acid, CH6O7P2,Oxidronic acid is a diagnostic skeletal imaging agent used to demonstrate areas of altered osteogenesis in adult and pediatric patients.
Oxilofrine, C10H15NO2,An amphetamine used to treat a cough associated with inflamed mucosa.
Plicamycin, C52H76O24,"For the treatment of testicular cancer, as well as hypercalcemia and hypercalciuria associated with a variety of advanced forms of cancer."
Podofilox, C22H22O8,A topical agent used for the treatment of external genital warts and perianal warts.
Podophyllin, C88H92O34,A cytotoxic agent used for the removal of soft genital (venereal) warts (condylomata acuminata).
Polidocanol, C30H62O10,"A sclerosing agent used for the treatment of uncomplicated spider veins and uncomplicated reticular veins, all less than 3 mm in diameter, in the lower extremity."
Polihexanide,,"Polihexanide has been used in trials studying the treatment, prevention, and supportive care of Caries, Neoplasm, Skin Diseases, Nail Diseases, and Dental Plaque, among others."
Oxitriptan, C11H12N2O3,A naturally occurring amino acid that is used to manage post-hypoxic myoclonus.
Oxolamine, C14H19N3O,A medication indicated in the treatment of a cough or upper respiratory tract inflammation.
Oxprenolol, C15H23NO3,"A non-selective beta-adrenergic antagonist used to treat hypertension, angina pectoris, arrhythmias, and anxiety."
Oxtriphylline, C12H21N5O3,"A bronchodilator used for the treatment of asthma, bronchitis, COPD, and emphysema."
Propylthiouracil, C7H10N2OS,A thiourea antithyroid agent used to treat hyperthyroidism.
Protionamide, C9H12N2S,An antitubercular thioamide-derivative used in the treatment of multi-drug resistant (MDR) tuberculosis and leprosy.
Protirelin, C16H22N6O4,A synthetic analogue of thyrotropin-releasing hormone that has been used during diagnostic tests to evaluate function of the thyroid gland.
Protokylol, C18H21NO5,Protokylol is a β-adrenergic receptor agonist used as a bronchodilator in Europe and the United States.
Protriptyline, C19H21N,A tricyclic antidepressant that is indicated in the treatment of depression only under close clinical supervision.
Proxibarbal, C10H14N2O4,"Proxibarbal is a derivative of barbiturates, which has been used to treat migraines. Proxibarbal was approved in France but was withdrawn from the market due to the risk of inducing..."
Prucalopride, C18H26ClN3O3,A 5-HT4 receptor agonist indicated to treat adults with chronic idiopathic constipation.
Prussian blue, C18Fe7N18,A chelating agent used to reduce the extent of systemic contamination with radioactive cesium and/or radioactive or non-radioactive thallium.
Pseudoephedrine, C10H15NO,"An alpha and beta adrenergic agonist used to treat nasal and sinus congestion, as well as allergic rhinitis."
Pyrantel, C11H14N2S,An anthelmintic used to treat helminth infections.
Pyrazinamide, C5H5N3O,An antituberculosis agent used as a component of tuberculosis (TB) treatment.
Pyridostigmine, C9H13N2O2,A cholinesterase inhibitor used for symptomatic treatment of myasthenia gravis and congenital myasthenic syndromes and to reverse neuromuscular blockade by nondepolarizing muscle relaxants.
Pyridoxal phosphate, C8H10NO6P,A vitamin available in many formulations to correct vitamin B6 deficiency.
Pyridoxine, C8H11NO3,A vitamin used to correct vitamin B6 deficiency and to treat nausea during pregnancy.
Pyrimethamine, C12H13ClN4,An antiparasitic drug used in the prevention and treatment of toxoplasmosis and malaria.
Pyrithione, C5H5NOS,An antimicrobial agent used for the treatment of dandruff and seborrheic dermatitis.
Pyrophosphoric acid, H4O7P2,An ingredient of a radiopharmaceutical used to visualize bone abnormalities and cardiovascular abnormalities and also used as an ingredient in some products to prevent iron deficiency anemia.
Pyruvic acid, C3H4O3,An ingredient of a blood cell processing solution used to rejuvenate a unit of red blood cells (RBC) in preparation for transfusion.
Pyrvinium, C26H28N3,An anthelmintic agent used for the treatment of pinworm infestations.
Quaternium-15, C9H16Cl2N4,Quaternium-15 is approved for use within allergenic epicutaneous patch tests which are indicated for use as an aid in the diagnosis of allergic contact dermatitis (ACD) in persons 6 years...
Quazepam, C17H11ClF4N2S,A long-acting benzodiazepine used to manage insomnia.
Quetiapine, C21H25N3O2S,"An atypical antipsychotic agent used for the management of bipolar disorder, schizophrenia, and major depressive disorder."
Quinagolide, C20H33N3O3S,A dopamine D2 receptor agonist used for the treatment of hyperprolactinemia.
Quinapril, C25H30N2O5,"An ACE inhibitor prodrug used to treat hypertension, congestive heart failure, and slow rate of progression of renal disease."
Quinestrol, C25H32O2,"Used in hormone replacement therapy, treating symptoms of menopause such as hot flashes. Also used to treat breast and prostate cancer."
Paliperidone, C23H27FN4O3,An atypical antipsychotic used in the treatment of schizophrenia and other schizoaffective or delusional disorders.
Palmitic Acid, C16H32O2,A fatty used as a food additive and emollient or surfactant in cosmetics.
Palonosetron, C19H24N2O,"A serotonin antagonist used in the prophylaxis or management of vomiting that results from emetogenic chemotherapy, and for the management of postoperative nausea and vomiting."
Palovarotene, C27H30N2O2,A selective agonist of retinoic acid receptor gamma (RARγ) used to reduce heterotopic ossification in patients with Fibrodysplasia Ossificans Progressiva (FOP).
Pamidronic acid, C3H11NO7P2,"A bisphosphonate used to treat Paget's disease, to treat hypercalcemia of malignancy, and to treat osteolytic bone lesions."
Pancuronium, C35H60N2O4,A neuromuscular blocker used as an adjunct to general anesthesia to facilitate tracheal intubation and to provide skeletal muscle relaxation during surgery or mechanical ventilation.
Panobinostat, C21H23N3O2,A non-selective histone deacetylase inhibitor used to treat multiple myeloma in combination with other antineoplastic agents.
Pantethine, C22H42N4O8S2,A naturally occurring compound derived from panthothenic acid. It acts as an intermediate in endogenous coenzyme A synthesis and is used as a dietary supplement to treat hypertriglyceridemia.
Panthenol, C9H19NO4,"An ingredient used in skin, hair care, and nutritional products but is not an approved medication."
Pantoprazole, C16H15F2N3O4S,"A proton pump inhibitor used to treat erosive esophagitis, gastric acid hypersecretion, and to promote healing of tissue damage caused by gastric acid."
Pantothenic acid, C9H17NO5,A vitamin B5 found in various nutritional supplements.
Papaverine, C20H21NO4,"An alkaloid used to treat many types of smooth muscle spasms such as ""vascular spasms"" associated with acute myocardial infarction and angina pectoris, as well as ""visceral spasms""."
Parachlorophenol, C6H5ClO,An antibacterial agent used to prevent infections in root canals.
Paraldehyde, C6H12O3,"A central nervous system depressant previously used to control convulsions due to various clinical causes, including tetanus, status epilepticus, and convulsive drugs."
Paramethadione, C7H11NO3,Used for the control of absence (petit mal) seizures that are refractory to treatment with other medications.
Paramethasone acetate, C24H31FO6,
Parecoxib, C19H18N2O4S,A selective COX-2 inhibitor and NSAID used for the short-term management of perioperative pain.
Pargyline, C11H13N,For the treatment of moderate to severe hypertension.
Paricalcitol, C27H44O3,A vitamin D analog used to treat hyperparathyroidism associated with stage 3 or greater chronic kidney disease.
Paritaprevir, C40H43N7O7S,A direct acting antiviral agent used in combination with other antiviral agents for the treatment of Hepatitis C Virus (HCV) infections.
Parnaparin,,"A low molecular weight heparin (LMWH) used to prevent blood clots, specifically deep vein thrombosis."
Paromomycin, C23H45N5O14,"An aminoglycoside antibiotic used in the treatment of acute and chronic intestinal amebiasis, and as an adjunct for the management of hepatic coma."
Paroxetine, C19H20FNO3,"A selective serotonin reuptake inhibitor used to treat major depressive disorder, panic disorder, OCD, social phobia, generalized anxiety disorder, the vasomotor symptoms of menopause, and premenstrual dysphoric disorder."
Parthenolide, C15H20O3,Parthenolide has been used in trials studying the diagnostic of Allergic Contact Dermatitis.
Pasireotide, C58H66N10O9,"A somatostatin analog used in the treatment of Cushing’s disease, specifically for those patients whom pituitary surgery is not appropriate."
Potassium chloride, ClK,A potassium salt used to treat hypokalemia.
Potassium citrate, C6H5K3O7,"An agent used to manage renal tubular acidosis, hypocitraturic calcium oxalate nephrolithiasis, and uric acid lithiasis with or without calcium stones."
Potassium gluconate, C6H11KO7,A potassium supplement indicated in the treatment and prevention of hypokalemia.
Potassium guaiacolsulfonate,,A mucolytic and expectorant indicated to relieve a productive cough.
Potassium hydroxide, HKO,"A disinfectant used to clean hands, skin, and surfaces."
Potassium Iodide, IK,An oral antithyroid agent used for the prevention of radioactive iodine uptake into the thyroid gland during a nuclear radiation emergency.
Potassium lactate, C3H5KO3,
Potassium nitrate, KNO3,"A medication used to cauterize small wounds, remove granulation tissue, warts, and verrucae, and treat tooth sensitivity."
Potassium perchlorate, ClKO4,No current FDA- or EMA-approved therapeutic indications.
Potassium sulfate, K2O4S,An osmotic laxative used to cleanse the colon before a colonoscopy.
Povidone,,"When in complex with iodine, indicated for inducing antisepsis for prevention of infection in minor cuts, scrapes, and burns."
Povidone K30,,"When in complex with iodine, indicated for inducing antisepsis for prevention of infection in minor cuts, scrapes, and burns."
Povidone-iodine,,A topical antiseptic agent used for the treatment and prevention of infection in wounds.
Practolol, C14H22N2O3,Used in the emergency treatment of cardiac arrhythmias.
Pralatrexate, C23H23N7O5,An antineoplastic agent used for the treatment of relapsed or refractory peripheral T-cell lymphoma.
Pralidoxime, C7H9N2O,A cholinesterase reactivator used to treat organophosphate poisoning.
Pralsetinib, C27H32FN9O2,A RET receptor tyrosine kinase inhibitor for the treatment of metastatic RET-driven non-small cell lung cancer.
Pramipexole, C10H17N3S,A non-ergot dopamine agonist used to treat the signs and symptoms of idiopathic Parkinson's disease and Restless Legs Syndrome (RLS).
Pramiracetam, C14H27N3O2,"Pramiracetam has been previously approved in some eastern European countries under the brand names Pramistar, Neupramir, and Remen. It was also previously approved in the United States with orphan drug..."
Pramlintide, C171H267N51O53S2,An amylin analog used for the management of type 1 and type 2 diabetes mellitus as an adjunct to preprandial insulin therapy in patients without adequate glycemic control of insulin therapy.
Pramocaine, C17H27NO3,A local anesthetic and antipruritic agent found in various topical preparations.
Prasterone, C19H28O2,A steroid formulated as a vaginal insert indicated for the treatment of moderate to severe dyspareunia associated with menopausal vulvar and vaginal atrophy.
Prasterone enantate, C26H40O3,An estrogen indicated for hormone replacement therapy in postmenopausal women.
Prasugrel, C20H20FNO3S,"A P2Y12 platelet inhibitor used to reduce risk of thrombotic cardiovascular events in unstable angina or non-ST-elevation myocardial infarction (NSTEMI), and in patients with STEMI when managed with either primary or delayed PCI."
Pravastatin, C23H36O7,"An HMG-CoA reductase inhibitor used to lower lipid levels and to reduce the risk of cardiovascular events, including myocardial infarction and stroke."
Rifaximin, C43H51N3O11,"A rifamycin-based non-systemic antibiotic used for the treatment of gastrointestinal bacterial infections, such as traveler's diarrhea and irritable bowel syndrome, and reduction of overt hepatic encephalopathy recurrence in adults."
Rilmenidine, C10H16N2O,An I1-imidazoline receptor agonist used to treat hypertension.
Rilpivirine, C22H18N6,A non-nucleoside reverse transcriptase inhibitor (NNRTI) used in combination with other antiretrovirals to specifically treat human immunodeficiency virus type 1 (HIV-1).
Riluzole, C8H5F3N2OS,A glutamate antagonist used to treat amyotrophic lateral sclerosis.
Rimantadine, C12H21N,An RNA synthesis inhibitor used to prevent influenza A infection.
Rimegepant, C28H28F2N6O3,An oral CGRP receptor antagonist used for the acute treatment of migraines with or without aura in adults.
Rimexolone, C24H34O3,A glucocorticoid used to treat inflammation of the eye.
Rimonabant, C22H21Cl3N4O,"For use in conjunction with diet and exercise for patients with a body mass index greater than 30 kg/m2, or patients wih a BMI greater than 27 kg/m2 with associated..."
Riociguat, C20H19FN8O2,A stimulator of soluble guanylate cyclase indicated for the management of persistent or recurrent chronic thromboembolic pulmonary hypertension and pulmonary arterial hypertension.
Ripretinib, C24H21BrFN5O2,A kinase inhibitor used to treat advanced gastrointestinal stromal tumor (GIST).
Risdiplam, C22H23N7O,An oral mRNA splicing modifier used in the treatment of spinal muscular atrophy (SMA).
Risedronic acid, C7H11NO7P2,A bisphosphonate used to treat osteoporosis and Paget's disease.
Risperidone, C23H27FN4O2,"A second-generation antipsychotic medication used to treat a number of mental health disorders including schizophrenia, bipolar mania, psychosis, or as an adjunct in severe depression."
Ritiometan, C7H10O6S3,Ritiometan is a nasal spray which is marketed by the name Nécyrane in France. It is indicated for use in viral rhinitis/ the common cold.
Ritlecitinib, C15H19N5O,A kinase inhibitor used to treat severe alopecia areata in adults and adolescents 12 years and older.
Ritodrine, C17H21NO3,An adrenergic beta agonist used to treat premature labor.
Ritonavir, C37H48N6O5S2,An HIV protease inhibitor used in combination with other antivirals in the treatment of HIV infection.
Rivaroxaban, C19H18ClN3O5S,A factor Xa inhibitor used to treat deep vein thrombosis (DVT) and pulmonary embolism (PE). May also be used as thrombosis prophylaxis in specific situations.
Rivastigmine, C14H22N2O2,A cholinesterase inhibitor used to treat mild to moderate dementia in Alzheimer's and Parkinson's.
Rizatriptan, C15H19N5,A triptan used to treat migraines with or without aura.
Rocuronium, C32H53N2O4,A vecuronium analog used to facilitate tracheal intubation and to relax skeletal muscles during surgery.
Rofecoxib, C17H14O4S,"A COX-2 inhibitor NSAID used to treat osteoarthritis, rheumatoid arthritis, acute pain, primary dysmenorrhea, and migraine attacks."
Roflumilast, C17H14Cl2F2N2O3,A selective phosphodiesterase-4 inhibitor indicated to decrease the risk of exacerbations in patients with severe chronic obstructive pulmonary disease (COPD) and to treat plaque psoriasis.
Rolapitant, C25H26F6N2O2,A neurokinin-1 (NK-1) receptor antagonist used in combination with other antiemetics for the prevention of delayed nausea and vomiting associated with emetogenic chemotherapy.
Rolitetracycline, C27H33N3O8,A broad-spectrum tetracycline antibiotic used in cases needing high concentrations or when oral administration is impractical.
Poloxamer 188,,A medication used to clean wounds.
Polydatin, C20H22O8,"Polydatin, or Piceid, is a natural precursor and glycoside form of resveratrol with a monocrystalline structure. While it is isolated from the bark of Picea sitchensis or Polygonum cuspidatum, polydatin..."
Polyestradiol phosphate,,Polymeric phosphoric acid ester of estradiol.
Polyethylene glycol,,A laxative used to treat constipation and used for bowel preparation before colonoscopies and other procedures.
Polyethylene glycol 300,,"Indicated as a lubricant in over-the-counter ophthalmic solutions to temporarily relieve redness, burning and irritation of the eyes."
Polyethylene glycol 400,,"An ingredient used in a wide variety of medications, and is not an approved medication."
Polymyxin B, C56H98N16O13,A polymyxin antibiotic used to treat a wide variety of infections in the body.
Polyquaternium-10 (400 cps at 2%),,Polyquaternium-10 is a quaternized hydroxyethyl cellulose and a polycationic polymer. It is commonly found in cosmetics and personal care products to mainly reduce static electricity and form films.
Polysilicone-15,,"Polysilicone-15 is used as an UV-filter in cosmetic sunscreen products as well as in other cosmetic products (like shampoos, conditioners, hairsprays, etc.) where it can confer photostability to the product(s)..."
Polysorbate 20,,"Polysorbate 20 is a polysorbate-type nonionic surfactant used in many commercial, household and pharmaceutical products. It is composed of 20 repeated units of polyethylene glycol via ethoxylation. Polysorbate 20 is..."
Polysorbate 80,,"It is used as a solubilizer, antimicrobial preservative and disinfectant ."
Polythiazide, C11H13ClF3N3O4S3,A thiazide diuretic used in the management of hypertension and treatment of edema.
Polyvinyl alcohol,,A compound used as an ophthalmic lubricant.
Pomalidomide, C13H11N3O4,A thalidomide analogue used in combination with dexamethasone to treat patients with multiple myeloma.
Ponatinib, C29H27F3N6O,A kinase inhibitor used to treat patients with various types of chronic myeloid leukemia (CML).
Ponesimod, C23H25ClN2O4S,A sphingosine 1-phosphate receptor modulator indicated to treat relapsing multiple sclerosis.
Porfimer sodium,,"A hematoporphyrin derivative used to treat esophageal cancer, endobronchial cancer, and high grade dysplasia in Barrett's Esophagus."
Posaconazole, C37H42F2N8O4,A triazole antifungal drug that is used to treat invasive infections by Candida species and Aspergillus species in severely immunocompromised patients.
Potassium, K,A medication used to treat hypokalemic conditions and to clear the colon prior to colonoscopy.
Potassium acetate, C2H3KO2,A medication used to treat hypokalemia.
Potassium alum, AlKO8S2,"Potassium alum is considered safe by the FDA and its use is in homepathic or OTC products. Due to its presence in several different drugs, the main indications for the..."
Potassium aspartate, C8H14K2N2O9,A potassium supplement used to treat hypokalemia or hyperammonemia.
Potassium bicarbonate, CHKO3,An ingredient used as an antacid or to treat hypokalemia.
Potassium carbonate, CK2O3,"Potassium carbonate (K2CO3) is a white salt, soluble in water (insoluble in ethanol) which forms a strongly alkaline solution. It can be made as the product of potassium hydroxide's absorbent..."
Potassium cation, K,Potassium is used to regulate hypokalemia as a primary condition or secondary to other medical conditions.
Prazepam, C19H17ClN2O,A benzodiazepine used to manage more severe forms of anxiety disorders.
Praziquantel, C19H24N2O2,"An anthelmintic medication used to treat parasitic worm infections such as schistosomiasis, clonorchiasis, and opisthorchiasis"
Prazosin, C19H21N5O4,An alpha-blocker that causes a decrease in total peripheral resistance and is used to treat hypertension.
Prednicarbate, C27H36O8,A medium potency topical corticosteroid used to manage pruritus and inflammation associated with responsive skin conditions.
Prednisolone, C21H28O5,"A glucocorticoid used to treat adrenocortical insufficiency, inflammatory conditions, and some cancers."
Prednisolone acetate, C23H30O6,"A glucocorticoid used to treat a wide variety of endocrine, inflammatory, and immune conditions as well as for palliation of neoplastic conditions."
Prednisolone phosphate, C21H29O8P,"A corticosteroid used to treat inflammation, immune reactions, as well as endocrine or neoplastic conditions."
Prednisolone tebutate, C27H38O6,
Prednisone, C21H26O5,A corticosteroid used to treat inflammation or immune-mediated reactions and to treat endocrine or neoplastic diseases.
Prednisone acetate, C23H28O6,
Pregabalin, C8H17NO2,"An anticonvulsant drug used to treat neuropathic pain conditions and fibromyalgia, and for the treatment of partial onset seizures in combination with other anticonvulsants."
Pregnenolone, C21H32O2,"A 21-carbon steroid, derived from cholesterol and found in steroid hormone-producing tissues. Pregnenolone is the precursor to gonadal steroid hormones and the adrenal corticosteroids."
Prenylamine, C24H27N,"Prenylamine was withdrawn from the Canadian, US, and UK markets in 1988 due to concerns regarding cardiac arrhythmias."
Pretomanid, C14H12F3N3O5,Part of a three-drug regimen used for the treatment of extensively drug-resistant and multidrug-resistant pulmonary tuberculosis.
Prilocaine, C13H20N2O,A local anesthetic used in dental procedures.
Primaquine, C15H21N3O,An antimalarial indicated to prevent relapse of vivax malaria.
Primidone, C12H14N2O2,"An antiepileptic used to treat grand mal, psychomotor, and focal epileptic seizures."
Probenecid, C13H19NO4S,"A medication used to treat gouty arthritis, tophaceous gout, and hyperuricemia."
Probucol, C31H48O2S2,Used to lower LDL and HDL cholesterol.
Procainamide, C13H21N3O,A medication used to treat life threatening ventricular arrhythmias.
Procaine, C13H20N2O2,"A local anesthetic used for anesthesia, peripheral nerve block, and spinal nerve block."
Procaine benzylpenicillin, C29H38N4O6S,A local anesthetic and antibiotic combination for intramuscular injection to treat a variety of bacterial infections while reducing pain from a deep intramuscular injection.
Procaine merethoxylline, C28H41HgN3O9,
Procarbazine, C12H19N3O,An antineoplastic agent indicated for the treatment of stage III and stage IV Hodgkin's disease in combination with other chemotherapeutic agents.
Procaterol, C16H22N2O3,A beta-2 adrenergic receptor agonist and bronchodilator used for the treatment of asthma and chronic obstructive pulmonary disease (COPD).
Sertindole, C24H26ClFN4O,An atypical antipsychotic indicated in the treatment of schizophrenia.
Sertraline, C17H17Cl2N,"A selective serotonin reuptake inhibitor (SSRI) indicated to treat major depressive disorder, social anxiety disorder and many other psychiatric conditions."
Setmelanotide, C49H68N18O9S2,"Setmelanotide is indicated to treat obesity caused by genetic POMC, PCSK1, or LEPR deficiencies or Bardet-Biedl syndrome."
Sevelamer, C6H12ClNO,A phosphate binder used to treat hyperphosphatemia.
Sevoflurane, C4H3F7O,A inhalation anaesthetic agent used for induction and maintenance of general anesthesia during surgical procedures.
Sibutramine, C17H26ClN,"A norepinephrine, serotonin and dopamine reuptake inhibitor indicated to assist with weight loss in obesity."
Silanol, H4OSi,Silanol is an FDA-approved food contact substance that is commonly used in organosilicon chemistry and silicate mineralogy.
Sildenafil, C22H30N6O4S,A phosphodiesterase inhibitor used for the treatment of erectile dysfunction.
Silicon, Si,A micronutrient indicated in nutritional products to treat or prevent silicon deficiencies.
Silicon dioxide, O2Si,An ingredient found in a variety of supplements and vitamins.
Silodosin, C25H32F3N3O4,An alpha-1 adrenergic receptor antagonist used to treat symptoms associated with benign prostatic hyperplasia (BPH).
Silodrate, Al2H2Mg2O12Si3,
Silver, Ag,Indicated for the treatment of acne for topical use or the management of dental caries for dental use.
Silver nitrate, AgNO3,"Silver nitrate is an inorganic compound with the chemical formula AgNO3. In its solid form, silver nitrate is coordinated in a trigonal planar arrangement. It is often used as a..."
Silver sulfadiazine, C10H9AgN4O2S,A topical sulfonamide antibiotic that acts on the bacterial cell wall and cell membrane; approved for the treatment of burns.
Simeprevir, C38H47N5O7S2,A direct-acting antiviral agent that inhibits HCV NS3/4A protease to treat chronic hepatitis C virus (HCV) infection in adults with HCV genotype 1 or 4.
Simethicone, C6H18O4Si3,"An anti-flatulence agent used to relieve pressure, bloating, and symptoms referred to as gas."
Simvastatin, C25H38O5,An HMG-CoA reductase inhibitor used to lower lipid levels and reduce the risk of cardiovascular events including myocardial infarction and stroke.
Sinapultide, C126H238N26O22,A synthetic lung surfactant used to treat infant respiratory distress syndrome.
Sinecatechins,,A topical agent used to treat external genital and perianal warts in immunocompetent adult patients.
Siponimod, C29H35F3N2O3,A medication used to treat relapsing multiple sclerosis.
Sirolimus, C51H79NO13,"An mTOR inhibitor immunosuppressant used to prevent organ transplant rejections, treat lymphangioleiomyomatosis, and treat adults with perivascular epithelioid cell tumors."
Sitagliptin, C16H15F6N5O,An oral dipeptidyl peptidase-4 (DPP-4) inhibitor used for the management of type 2 diabetes mellitus.
Sitaxentan, C18H15ClN2O6S2,"Investigated for use/treatment in pulmonary hypertension, connective tissue diseases, hypertension, and congestive heart failure."
"Sodium 1,2-Dipalmitoyl-sn-glycero-3-phospho-(1'-rac-glycerol)", C38H74NaO10P,
Relebactam, C12H20N4O6S,"A beta-lactamase inhibitor used to prevent hydrolysis of beta-lactam antibiotics, leading to increased effectiveness."
Relugolix, C29H27F2N7O5S,An oral GnRH receptor antagonist for androgen deprivation therapy in the treatment of advanced prostate cancer.
Remdesivir, C27H35N6O8P,A nucleoside analog used to treat RNA virus infections including COVID-19.
Remifentanil, C20H28N2O5,An opioid analgesic used in anesthesia.
